ident,uf,estrato_pof,tipo_situacao_reg,energia_kcal,ptn,chotot,fibra,lip,colest,agsat,agmono,agpoli,agtrans,calcio,ferro,sodio,magnesio,fosforo,potassio,cobre,zinco,vita_rae,tiamina,riboflavina,niacina,piridoxamina,cobalamina,vitd,vite,vitc,folato,idade,sexo,raca,anos_estudo,peso,altura,tipo_domicilio,tipo_piso
110000602211,198,19926,18,3552.069969177246,236.6897982507944,373.2002021074295,68.89160104095936,138.8048022985458,721.484489440918,38.05709949508309,47.30090093612671,46.47440028190613,.7852000007405877,529.5840970277786,25.27780017256737,4505.75047659874,728.1059990525246,2424.47953414917,5812.05174612999,3.295399989932776,33.06259959936142,94.62460109591484,3.35450005158782,1.399800002574921,31.0929996073246,.897199978120625,10.77449989318848,2.391199998557568,15.4171998500824,7.88129997253418,916.4378256797791,70,1,1,0,67,155,1,1
110000602912,308,30996,28,2650.384971618652,83.43550072330982,322.493893802166,18.95390033721924,118.2450007479638,437.7292594909668,32.64104993082583,35.30165055766702,35.6187503002584,2.980249965097755,383.6522038727999,16.78770002163947,5000.106200903654,288.339652929455,1143.104973435402,1532.379920005798,1.753200015984476,12.5006500184536,91.54589992389083,1.03624998498708,1.91505004838109,11.24840001761913,1.521800052840263,4.738550007343292,1.471650004386902,8.667749839834869,2.700000017881393,487.4252926707268,75,2,4,5,73,172,1,1
110002041411,220,22220,40,2418.400001525879,127.2094996273518,395.0565060377121,88.18350170552731,56.2020004875958,185.8309955596924,14.05850001610816,16.43549995496869,22.7585001885891,.5230000065639615,522.2299945354462,22.19050018489361,4480.515602350235,753.7645049095154,1696.196547985077,5049.581039428711,3.635500017553568,22.37000023946166,159.8464950323105,.888000013306737,.7584999930113554,12.24550019204617,.3000000035390258,4.23949996009469,.1660000011324883,13.47399995662272,38.33649969100952,1271.813038468361,62,1,2,0,68,165,1,3
110002050212,319,32074,29,3017.10001373291,162.7905024886131,389.5264995098114,30.57599991559982,96.64450071007013,620.0190048217773,24.63399967458099,30.6660002078861,34.3289997857064,1.017499997280538,360.7249996811152,15.94350016163662,2406.360045909882,462.6370009891689,1599.052506119013,4619.786424398422,2.096499981358647,26.60550050809979,642.3729942962527,.72749999538064,.9529999941587448,13.38300006091595,.6089999936521053,5.305999979376793,2.099000006914139,18.17699941247702,451.5225096940994,515.2110113501549,80,1,4,5,58,160,1,2
110002050213,220,22120,20,2061.569981098175,135.8166994713247,242.354296207428,28.36220026016235,67.18499964848161,308.5030021667481,22.46739982627332,19.09900046885014,19.70870004780591,1.397100000060163,755.9466125667095,14.46200004313141,2174.91704595089,398.3507018461824,1709.108113110066,3187.546800136566,2.061200026422739,21.84460037201643,612.1510967127979,.6783999968320131,1.124399989843369,12.42359977960587,.8063000007532537,8.889000058174133,2.292999945580959,12.45719976723194,19.95109990239143,392.3744089007378,77,2,4,3,50,170,1,1
110002291813,418,41914,38,3706.559998512268,136.858399271965,585.9398058056831,43.8713006824255,100.5811998322606,505.4634964466095,40.37549965083599,29.38550015538931,22.7177999317646,2.318000067025423,878.7356934547424,22.34699977561832,3639.256062209606,482.3037042617798,1852.849604606628,4479.833003044128,2.362000004388392,22.11769983917475,880.7386852502823,1.78440001886338,3.271000022999942,22.19719958305359,.4054000042378902,9.973499901592732,.8569999858736992,7.699799930676818,79.95449942350388,749.1876195669174,64,1,4,6,60,170,1,1
110002334312,33,3309,3,676,12.16800022125244,141.8560028076172,10.39999961853027,9.463999748229981,19.76000022888184,1.968000009655953,2.391999959945679,5.096000194549561,0,201.3359985351563,1.351999998092651,2030.696044921875,156.2400054931641,205.1920013427734,864.7919921875,.4080000072717667,1.351999998092651,274.7680053710938,.3120000064373016,0,2.288000106811523,.3120000064373016,0,0,2.288000106811523,57.40800094604492,78.20800018310547,69,2,2,0,64,173,1,1
110004152511,110,11110,20,2605.549949645996,133.9213011562824,386.7135123610497,23.13850021362305,63.82289925031364,417.3586130142212,20.74859919864684,27.07259913161397,12.05820020288229,.3484999947249889,276.4940003305674,10.37770025478676,1840.987236171961,290.5667017363012,1350.705618292093,3022.843445777893,2.286699965596199,14.78600046038628,152.9903023988009,3.942000069655478,.7492000050842762,25.82980044186115,.8242000043392181,2.638200014829636,1.464200019836426,3.632999955676496,265.8900988250971,210.0644048452377,61,1,4,0,87,175,1,1
110005695213,418,41914,38,4073.569976806641,289.6016014032066,492.4382028579712,72.50740100815892,121.2105002328754,1282.854031562805,38.70690036565065,38.79389981925488,29.3503999337554,1.82480000378564,1161.036001265049,33.41889993101358,6569.756483137608,814.6447044610977,3409.166417211294,6665.768856048584,3.672200022032484,31.57690043002367,656.9948877245188,2.126999981701374,3.157799990847707,67.91740134358406,1.73979999916628,11.95000019669533,4.530000060796738,13.59320002421737,84.00849878042936,1323.376627579331,67,2,5,0,80,165,1,1
110005695214,363,36399,33,2777.717474937439,243.0472386479378,226.6764125227928,27.10608540475369,106.857133930549,745.2858922481537,37.77325037773699,41.6408757227473,19.50532476045191,.9928849972784519,888.0716372877359,17.30886508198455,3857.478305369616,1222.667380895466,2515.552983433008,7219.485643386841,3.166030059568584,33.22571062296629,302.430629119277,4.898150040535256,1.569360012188554,54.52693819627166,.6162950061261654,5.063624899834395,1.838749971240759,6.757884954102337,31.02162542939186,668.455396771431,72,1,1,0,75,170,1,1
